claim_id,policy_id,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,coverage,policy,renew_offer,last_claim,policy_change,denied_claims,claims_file,avg_length_of_handling_process,auto_make,auto_model,auto_year
4009031610,0F5HTGO6X,214618,1999-05-29,OH,100/300,2000,1137.16,0,Basic,Personal L2,offer3,28,9,0,0,5,Audi,A3,2006
4243100015,CUK9UM91S,842643,1997-11-20,OH,500/1000,500,1215.36,3000000,Basic,Personal L2,offer4,17,17,7,16,28,Saab,95,2000
4748274091,7H9VL9LTC,626808,2012-10-26,OH,100/300,1000,936.61,0,Extended,Personal L3,offer2,0,0,0,11,10,Toyota,Highlander,2010
8688618492,MY2H0FZV0,644081,1998-12-28,OH,250/500,2000,1301.13,0,Basic,Corporate L3,offer1,22,0,4,15,8,Dodge,Neon,2003
6985361373,1PULEEVR4,892874,1992-10-19,IN,100/300,2000,1131.4,0,Extended,Personal L3,offer1,28,0,0,0,16,Accura,MDX,1999
2518846112,NWRKLD7XL,558938,2005-06-08,OH,500/1000,1000,1199.44,5000000,Basic,Personal L2,offer1,16,0,4,12,16,Nissan,Maxima,2012
8418496030,6OJGKBXQ5,275265,2004-11-15,IN,500/1000,500,708.64,6000000,Basic,Special L1,offer4,24,4,0,15,8,Suburu,Legacy,2015
3175000617,4822WPFN7,921202,2014-12-28,OH,500/1000,500,1374.22,0,Extended,Personal L3,offer3,0,3,0,1,18,Accura,TL,2015
1194633188,TVN2KDC7H,143972,1992-08-02,IN,500/1000,2000,1475.73,0,Basic,Personal L2,offer2,10,0,10,15,10,Nissan,Pathfinder,2014
7301277785,D3YXY1KSF,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,Basic,Personal L3,offer2,10,0,0,0,5,Suburu,Impreza,2011
9462718518,LN4TZGOLH,431876,2005-11-27,IL,500/1000,2000,875.15,0,Basic,Corporate L3,offer1,20,0,1,6,22,Accura,RSX,1996
5936047869,FVJB15KNE,285496,1994-05-27,IL,100/300,2000,972.18,0,Basic,Personal L3,offer2,35,0,0,0,7,Suburu,Forrestor,2000
5195262622,4KY8M5SVA,115399,1991-02-08,IN,100/300,2000,1268.79,0,Basic,Personal L2,offer2,11,0,0,3,25,Dodge,RAM,2011
2390441569,E4TNCCW0O,736882,1996-02-02,IN,100/300,1000,883.31,0,Extended,Personal L3,offer2,32,0,0,5,11,Ford,Escape,2005
6054986510,RGZYBR16F,699044,2013-12-05,OH,100/300,2000,1266.92,0,Basic,Personal L3,offer1,10,0,9,12,1,Ford,Escape,2006
7232452112,JPY3QAUJO,863236,1990-09-20,IN,100/300,2000,1322.1,0,Basic,Special L1,offer2,18,11,0,4,21,Toyota,Camry,2005
4201844046,RZQ99S8JS,608513,2002-07-18,IN,100/300,500,848.07,3000000,Basic,Personal L1,offer1,27,0,1,5,6,Suburu,Forrestor,2003
6838395279,8P9O7D9W9,914088,1990-02-08,OH,100/300,2000,1291.7,0,Basic,Personal L3,offer1,11,0,0,14,29,Dodge,Neon,2009
5017356587,WFOC9O0S7,596785,2014-03-04,IL,500/1000,2000,1104.5,0,Basic,Personal L3,offer2,23,0,0,1,4,Accura,TL,2011
6780126517,F74HUIYF9,908616,2000-02-18,IL,250/500,1000,954.16,0,Basic,Corporate L1,offer2,3,28,0,7,7,Toyota,Corolla,2005
5709911441,9PUFHOPVB,666333,2008-06-19,IL,100/300,2000,1337.28,8000000,Basic,Corporate L2,offer4,8,23,0,0,5,Ford,F150,2006
2578074201,YMGPJVJVA,336614,2003-08-01,IL,500/1000,1000,1088.34,0,Basic,Personal L1,offer1,4,0,0,0,29,BMW,3 Series,2008
4177353968,3FKWLYN4H,584859,1992-04-04,IL,100/300,1000,1558.29,0,Basic,Personal L1,offer1,28,0,0,3,2,Suburu,Impreza,2015
5219851288,7KB1EV2P5,990493,1991-01-13,IL,500/1000,500,1415.68,0,Basic,Personal L3,offer1,18,0,0,1,28,Audi,A3,1999
4079741820,16ZP382KB,129872,2010-08-08,OH,100/300,1000,1334.15,6000000,Extended,Special L1,offer4,16,12,0,16,29,Mercedes,C300,1995
5218166879,EHPSCJBV1,200152,2003-03-09,IL,100/300,1000,988.45,0,Basic,Personal L1,offer2,27,0,0,4,2,Suburu,Forrestor,2004
1384275703,93YYHQWXL,933293,1993-02-03,IL,500/1000,2000,1222.48,0,Extended,Personal L1,offer1,5,0,0,0,10,Suburu,Legacy,2001
7627236967,I2GPXNVLP,485664,2002-11-25,IN,500/1000,2000,1155.55,0,Basic,Personal L3,offer1,17,0,0,0,21,Jeep,Wrangler,2007
3060474711,DZ97K9KXZ,982871,1997-07-27,IN,250/500,500,1262.08,0,Extended,Personal L2,offer2,28,0,0,6,4,Nissan,Pathfinder,2011
4847859234,462XBLSQM,206213,1995-05-08,IL,100/300,500,1451.62,0,Basic,Personal L2,offer1,17,0,0,3,7,BMW,M5,2010
1870598099,0BUQJPRK2,616337,2012-08-30,IN,250/500,500,1737.66,0,Extended,Personal L2,offer2,8,0,0,13,15,BMW,X5,2001
5293625821,5YPT11QOT,448961,2006-04-30,IL,500/1000,500,1475.93,0,Extended,Personal L2,offer1,6,0,0,0,19,Dodge,RAM,2010
8580470333,M8D7DLXG0,790442,2003-04-13,OH,250/500,500,538.17,0,Extended,Special L1,offer2,25,0,0,3,4,Mercedes,E400,2005
2488494154,YUFPWH2JT,108844,2007-12-05,IL,100/300,2000,1081.08,0,Basic,Corporate L3,offer1,8,0,0,0,8,Toyota,Highlander,2014
9875237791,Q34R6JCW0,430029,2006-08-21,IL,250/500,1000,1454.43,0,Basic,Personal L2,offer2,35,0,1,4,13,Accura,MDX,2002
3237883081,46KY04NCA,529112,1990-01-08,IN,100/300,500,1240.47,0,Premium,Corporate L1,offer3,5,13,6,12,5,Honda,Civic,2014
1160207704,9HBW4WDN2,939631,1990-03-18,OH,500/1000,2000,1273.7,4000000,Extended,Personal L2,offer1,17,0,8,13,22,Audi,A3,2003
6635422127,1H2L5G3XA,866931,2008-01-07,IN,500/1000,1000,1123.87,8000000,Basic,Personal L2,offer1,22,0,2,9,18,Volkswagen,Passat,1995
5557944124,4Z64NYPWQ,582011,1997-03-10,IL,100/300,1000,1245.89,0,Basic,Personal L3,offer1,1,0,1,1,13,Mercedes,C300,2000
6410461808,7KB3P5OZS,691189,2004-01-10,OH,250/500,2000,1326.62,7000000,Premium,Personal L1,offer3,32,9,0,8,17,Nissan,Pathfinder,1998
8404613577,4EDJS7N3M,537546,1994-08-20,IL,100/300,2000,1073.83,0,Basic,Personal L2,offer2,13,0,0,0,21,BMW,M5,2008
9338083313,QGL996Z60,394975,2002-06-02,IN,100/300,1000,1530.52,0,Extended,Personal L2,offer2,15,0,0,0,25,Toyota,Corolla,2000
6947439753,KWGG94ACZ,729634,1994-04-28,IN,100/300,500,1201.41,0,Basic,Personal L3,offer2,19,0,0,0,23,Suburu,Forrestor,1999
8250906997,NBZRLAH7R,282195,2014-08-17,OH,250/500,1000,1393.57,0,Extended,Personal L1,offer1,17,0,1,1,15,Ford,F150,2009
9142030482,AK7OSVJ4O,420810,2007-08-11,OH,100/300,1000,1276.57,0,Basic,Personal L3,offer4,12,22,10,11,1,Chevrolet,Silverado,1995
8222624483,38N89CI2N,524836,2008-11-20,IN,250/500,500,1082.49,0,Extended,Personal L3,offer1,13,0,0,4,29,Honda,CRV,2014
1973629155,ROIK6G2SJ,307195,1995-10-18,IN,500/1000,1000,1414.74,0,Basic,Personal L2,offer4,5,20,0,0,5,Chevrolet,Silverado,2014
7667577432,7J8ENW0XO,623648,1993-05-19,IL,250/500,2000,1470.06,0,Basic,Corporate L2,offer3,6,29,0,7,3,Saab,93,2007
7383892262,1SO5HX4Z1,485372,2005-02-26,OH,250/500,2000,870.63,0,Basic,Personal L3,offer2,21,0,0,0,17,Ford,Escape,2000
6562275281,HVTYEZ9MP,598554,1990-02-14,IN,100/300,500,795.23,0,Basic,Personal L1,offer1,19,0,0,13,26,Nissan,Maxima,2014
5495145037,3WMAP864Q,303987,1993-09-30,IL,500/1000,1000,1168.2,0,Premium,Personal L1,offer2,23,0,0,15,2,Honda,Accord,1997
4029013333,XSVG60FIK,343161,2014-06-10,IL,500/1000,1000,993.51,0,Basic,Personal L2,offer3,10,19,0,9,24,BMW,M5,2011
3811237977,2AVYWPJPK,519312,2008-10-28,OH,500/1000,500,1848.81,0,Extended,Corporate L3,offer2,0,19,0,8,2,Suburu,Legacy,2003
9254460407,69I7KFMUW,132902,2007-04-24,OH,250/500,2000,1641.73,5000000,Basic,Personal L3,offer1,6,0,0,0,7,Ford,Escape,2006
4408995553,OLQ8500I4,332867,1993-12-13,IN,100/300,500,1362.87,0,Basic,Personal L2,offer4,27,5,0,0,18,Dodge,Neon,1995
9868106295,K0JKYEIXE,356590,2011-08-17,IN,250/500,500,1239.22,7000000,Basic,Personal L3,offer1,30,0,8,8,10,Audi,A5,2009
3027905602,OOVCN1G54,346002,1990-08-20,OH,250/500,500,835.02,0,Premium,Personal L3,offer1,34,0,1,15,28,BMW,X6,1998
3541126621,3AK98NYU5,500533,1994-02-11,OH,100/300,1000,1061.33,0,Basic,Personal L2,offer2,1,0,0,0,2,Audi,A5,1997
4938451255,5Y97EYV0K,348209,1994-02-22,IN,500/1000,1000,1279.08,0,Extended,Personal L1,offer1,20,0,2,16,6,Ford,F150,2004
4066987063,1TI72GWCJ,486676,2011-08-15,OH,100/300,500,1105.49,0,Basic,Personal L2,offer1,11,0,0,9,27,Audi,A3,2003
9183081205,BNJ05L9XE,260845,1998-11-11,OH,100/300,2000,1055.53,0,Basic,Personal L2,offer2,21,0,0,13,27,Honda,Civic,1995
2959847570,VDIHC1Z9N,657045,1995-12-04,OH,250/500,1000,895.83,0,Basic,Personal L2,offer2,19,0,0,0,11,Chevrolet,Malibu,1999
1438498787,27JV0IP4O,761189,2002-12-28,IN,100/300,500,1632.93,0,Extended,Corporate L1,offer2,9,25,1,13,2,Mercedes,C300,2002
1083496353,IFNULBWJI,175177,2004-04-15,IL,100/300,1000,1405.99,0,Basic,Personal L3,offer1,2,0,0,9,12,BMW,X6,2005
4719384530,RV66QH1LO,116700,2001-02-02,OH,100/300,1000,1425.54,0,Basic,Personal L2,offer4,8,15,0,2,7,Ford,Fusion,2010
8876129199,K3XDYJAP5,166264,2010-01-12,OH,500/1000,1000,1038.09,0,Basic,Personal L3,offer3,1,16,1,7,15,Suburu,Legacy,1998
2721666705,UJ0I34WCU,527945,1992-04-14,IN,250/500,500,1307.11,0,Basic,Personal L2,offer1,22,0,0,1,4,Audi,A3,2005
1129133301,IUDTYF4HI,627540,2010-05-21,OH,500/1000,1000,1489.24,6000000,Basic,Personal L1,offer2,24,0,1,6,13,Saab,95,2004
4934437922,B2IHDWGTT,279422,2013-10-27,OH,500/1000,500,976.67,0,Basic,Personal L1,offer3,6,1,0,12,18,BMW,M5,2013
2428624513,NAPW5PHLB,484200,1994-10-12,OH,250/500,2000,1340.43,0,Basic,Personal L2,offer2,0,16,6,7,16,Accura,MDX,2005
3556663049,LFLS4S0EG,645258,1997-07-04,OH,500/1000,2000,1267.81,5000000,Basic,Personal L3,offer1,23,0,0,0,29,Accura,TL,2005
3840250204,R2F9OG2GK,694662,2011-02-15,IL,250/500,1000,1234.2,6000000,Extended,Corporate L2,offer2,30,0,1,1,7,Nissan,Maxima,2002
1429026648,BAXR7OPUQ,960680,1994-08-21,IN,250/500,2000,1318.06,0,Basic,Personal L3,offer1,15,0,1,16,2,Volkswagen,Jetta,2002
6084144659,EX8JR8WAS,498140,1997-05-15,IN,500/1000,2000,769.95,0,Premium,Personal L1,offer4,20,28,1,3,8,Audi,A3,2013
3340389725,BDTKDAQTB,498875,1996-10-26,OH,100/300,2000,1514.72,0,Premium,Personal L1,offer4,21,8,2,13,15,Suburu,Legacy,2007
3044833246,WH8WSMYSJ,798177,2006-03-04,IL,500/1000,1000,873.64,4000000,Basic,Personal L3,offer1,5,0,5,7,26,Ford,F150,2007
2297992981,1M4WAG3R3,614763,1991-01-02,IL,500/1000,500,1612.43,0,Basic,Personal L3,offer2,13,0,0,0,25,BMW,3 Series,2015
8432880230,5P1BWXD01,679370,1999-08-15,IL,500/1000,2000,1318.24,9000000,Premium,Corporate L2,offer2,22,0,1,1,16,Dodge,Neon,2002
2581729527,QBERLALPW,958857,1992-01-15,IN,100/300,1000,1226.83,0,Basic,Personal L3,offer2,27,0,0,0,2,Accura,MDX,2011
7719132682,VM1I4QZTM,686816,1999-12-07,OH,250/500,2000,1326.44,5000000,Basic,Personal L3,offer2,2,0,0,1,21,Saab,93,1995
2106617254,S2C36WPCI,127754,1993-06-06,IL,250/500,2000,1136.83,4000000,Basic,Personal L2,offer1,11,0,0,4,21,Honda,Accord,2004
2880382012,5L3RADWKY,918629,2000-10-03,IL,250/500,2000,1322.78,0,Basic,Personal L3,offer1,35,0,3,9,8,BMW,X5,2007
3498125364,0Z79L6ZIM,731450,2010-12-29,IN,100/300,1000,1483.25,0,Basic,Personal L2,offer1,24,0,0,16,22,Ford,Fusion,2009
9791015546,ERRW4R298,307447,1990-03-17,IL,100/300,500,1515.3,0,Basic,Corporate L3,offer1,29,0,4,7,13,Mercedes,ML350,2005
2763973583,8QRNZ748S,992145,2012-03-01,IL,100/300,2000,1075.18,5000000,Basic,Personal L3,offer3,21,7,0,4,20,Toyota,Highlander,2001
7115661548,PDPCDYF0W,900628,2006-02-05,IN,500/1000,1000,1690.27,0,Basic,Corporate L3,offer2,8,0,9,13,6,Dodge,RAM,2006
5688363782,QZC2HRE1Y,235220,2014-11-01,IL,250/500,2000,1352.83,0,Basic,Personal L3,offer1,11,0,9,14,7,Nissan,Pathfinder,2013
3199757423,JX6RFZTHK,740019,2009-06-17,OH,250/500,1000,1148.73,0,Extended,Personal L2,offer1,1,0,0,0,13,Saab,95,1999
8089635203,UFF0NAO49,246882,1999-09-20,IL,100/300,1000,969.5,0,Basic,Corporate L3,offer2,10,28,0,4,4,Audi,A3,2007
1228964155,U77IZJ2U8,797613,1990-10-19,IN,100/300,500,1463.82,0,Basic,Personal L3,offer3,1,13,0,0,27,Saab,92x,2007
1784508997,0JDXJDUI2,193442,1996-08-05,IL,100/300,1000,1474.17,0,Basic,Personal L2,offer3,30,13,0,0,1,Saab,95,2004
3185534288,ZI9KRLIKM,389238,2001-06-06,IL,250/500,500,1497.35,0,Premium,Corporate L3,offer1,25,0,1,9,2,Ford,Fusion,2013
2668992906,J8848VN9Q,760179,2007-03-25,OH,100/300,1000,1427.14,0,Basic,Personal L3,offer1,21,0,5,15,3,Toyota,Highlander,2008
1278323405,7AFOBDHSA,939905,2013-10-31,OH,500/1000,500,1495.1,0,Basic,Corporate L2,offer1,31,0,1,1,29,Chevrolet,Malibu,2014
9053128350,HZTNLFC2S,872814,1992-06-13,IL,100/300,500,1141.62,0,Extended,Personal L1,offer1,14,0,0,0,20,Mercedes,E400,2002
2122995486,MITB2Y4DF,632627,1990-10-07,OH,500/1000,1000,1125.37,0,Basic,Personal L1,offer2,15,0,0,0,22,Saab,95,2000
1771024933,PSSULF53I,283414,1991-12-28,IN,500/1000,2000,1207.36,0,Basic,Personal L1,offer2,27,20,0,9,4,Volkswagen,Passat,1997
5691312150,XN2U5B4EL,163161,1998-11-11,IL,500/1000,2000,1338.5,0,Extended,Special L2,offer2,3,0,2,2,20,Saab,93,2000
8470915527,75M5D0IEF,853360,2009-06-26,IN,500/1000,1000,1074.07,0,Premium,Personal L3,offer3,20,10,0,6,8,Nissan,Ultima,2006
6727473471,VULWP9SRT,776860,2009-01-11,OH,250/500,500,1337.56,0,Extended,Personal L3,offer4,17,12,7,16,15,Dodge,RAM,2010
7021628808,GUQUF93DU,149367,2003-03-18,IN,100/300,500,1298.91,6000000,Extended,Corporate L3,offer1,4,0,0,0,15,Ford,F150,2015
5333578924,CEZFLRUMS,395269,2012-11-02,IL,500/1000,500,1222.75,0,Basic,Personal L3,offer4,9,6,0,0,8,BMW,X5,2001
4370591392,D57DTDQZS,981123,2000-05-04,IN,100/300,1000,1059.52,0,Basic,Personal L3,offer1,23,0,0,6,6,Saab,93,2007
1819589535,ICCIV2PSV,143626,1999-09-29,OH,250/500,2000,1124.38,0,Extended,Personal L1,offer1,15,0,0,7,7,Ford,F150,2001
5644827629,981SO1MT2,648397,1999-03-09,IN,100/300,1000,1110.37,10000000,Premium,Corporate L3,offer3,5,20,1,15,17,Accura,MDX,1997
7970192202,I86XW6XPX,154982,1991-02-13,IL,500/1000,2000,1374.22,0,Basic,Personal L2,offer4,1,18,0,0,15,Suburu,Legacy,2002
5009283573,J75J99J7F,330591,1993-08-05,OH,500/1000,2000,1103.58,0,Extended,Corporate L1,offer4,10,10,0,14,13,Toyota,Highlander,2011
4010664445,OW2MDGDQU,319232,1997-10-31,IL,250/500,2000,1269.76,0,Basic,Personal L3,offer1,8,0,1,11,6,Ford,Fusion,2015
2017906743,JX1JU3855,531640,2001-04-21,OH,250/500,500,964.79,8000000,Extended,Personal L2,offer4,29,13,0,7,10,BMW,3 Series,2010
1560399281,2Q6C2UH7C,368050,2013-01-08,IL,500/1000,2000,1167.3,4000000,Basic,Corporate L3,offer2,33,0,0,4,13,Volkswagen,Passat,2000
7790537957,VQ2840KBZ,253791,2009-07-23,IL,500/1000,500,1625.45,4000000,Basic,Personal L3,offer1,25,0,0,0,7,Ford,Fusion,2008
4443784861,ST09YXFC8,155724,1998-02-20,IL,250/500,500,1394.43,0,Basic,Corporate L3,offer4,14,7,0,0,8,Nissan,Maxima,1999
7989959841,4WE7UIMX9,824540,2008-03-13,OH,250/500,2000,1053.24,0,Basic,Personal L1,offer3,1,24,8,9,21,Accura,MDX,1995
7068423780,XTSGKITC2,717392,1996-08-20,IL,100/300,500,1040.75,0,Extended,Personal L1,offer2,9,19,1,11,1,BMW,X5,2011
3432116246,TUELQYBTM,965768,2014-07-27,IN,250/500,1000,1302.4,6000000,Extended,Personal L2,offer2,26,0,0,0,6,Ford,Escape,2013
3553878839,60RQ3OQNO,414779,1992-11-09,IL,100/300,2000,1588.55,0,Basic,Corporate L2,offer2,10,0,0,0,20,Suburu,Impreza,2001
4680097096,A3XI9Z9C4,428230,2012-06-04,IN,500/1000,500,1399.26,0,Extended,Personal L3,offer1,6,0,0,0,25,BMW,M5,1998
3623995638,8M3AV63X0,517240,2001-05-13,OH,100/300,2000,1352.31,0,Premium,Personal L3,offer3,8,12,0,12,19,BMW,X5,2006
9712389192,C9W3IBZC6,469874,2011-09-17,IL,250/500,1000,1139,6000000,Extended,Corporate L1,offer3,11,16,0,0,2,Saab,92x,2000
4325918749,8L52U1K39,718428,2011-07-15,IN,250/500,1000,1397.67,0,Premium,Personal L3,offer2,16,20,1,1,16,Ford,Escape,1999
4253971180,6B7P8GL7O,620215,2005-07-27,IN,250/500,500,823.17,0,Basic,Corporate L1,offer3,7,15,0,0,20,Dodge,RAM,2012
9553828853,OGLSRBBJD,618659,2005-10-18,OH,100/300,500,965.13,0,Basic,Personal L3,offer2,34,0,6,9,2,Nissan,Pathfinder,2013
9967960699,ZE87B4L0W,649082,1996-01-19,IL,500/1000,1000,1922.84,0,Basic,Personal L3,offer3,6,9,1,13,4,Jeep,Wrangler,2002
8519540607,S4LFF42WU,437573,2005-09-29,OH,250/500,2000,1624.82,0,Extended,Personal L3,offer1,4,0,0,11,16,BMW,3 Series,2006
7213069008,1KROAGNZF,964657,1997-02-18,IN,250/500,2000,1277.25,0,Basic,Personal L3,offer1,18,0,1,2,14,Volkswagen,Passat,1996
3351440871,RKJ886MKE,932502,2010-05-11,IL,100/300,1000,1439.34,0,Extended,Personal L1,offer2,5,0,0,2,19,Ford,Escape,2015
3453650217,PILWEDYKN,434507,2009-02-06,IL,250/500,1000,1281.27,0,Basic,Personal L3,offer4,20,23,10,10,7,BMW,X5,2010
9070849429,EGK3JCWMO,935277,2013-07-09,IL,500/1000,500,1348.83,0,Extended,Personal L3,offer3,27,2,1,5,14,Toyota,Camry,1999
5592316140,HK45ULA4D,756054,1992-06-06,IL,250/500,1000,1198.15,0,Basic,Personal L2,offer3,12,29,0,1,12,BMW,X5,1995
1869407840,LDBG75HRR,682387,1998-03-08,OH,100/300,2000,1221.22,0,Extended,Personal L3,offer1,15,0,0,0,12,Mercedes,E400,2008
6320921937,9AN1KK48E,456604,2004-03-29,IL,500/1000,2000,968.74,0,Basic,Corporate L3,offer1,35,0,0,14,13,Suburu,Forrestor,2001
6797711359,YK8ZRL5IJ,139872,2006-06-01,IN,250/500,1000,1220.71,0,Basic,Corporate L2,offer2,10,0,0,10,9,Chevrolet,Silverado,2013
7171465613,3WF59SVSP,354105,1994-06-08,IN,250/500,2000,1238.62,6000000,Basic,Personal L2,offer1,8,0,0,0,5,Accura,MDX,2012
8936142934,5HEJUXUAQ,165485,1998-02-12,IL,500/1000,2000,1320.75,0,Extended,Personal L3,offer4,10,9,4,11,13,Accura,MDX,2011
6630773104,0PKERPC24,515050,2000-11-16,OH,100/300,500,990.98,0,Basic,Personal L3,offer1,5,0,0,0,15,Accura,TL,2002
8523255829,0OBL1O90X,795686,2004-10-24,IL,500/1000,500,1398.51,4000000,Basic,Personal L2,offer3,16,4,0,0,13,BMW,X6,1996
4156152151,B88ZLH8KZ,395983,2009-11-08,OH,100/300,500,1355.08,0,Basic,Personal L3,offer2,7,0,8,9,2,Nissan,Pathfinder,2014
4707120304,VIZOIS0W1,119513,1996-09-21,IL,100/300,1000,1384.51,0,Basic,Special L2,offer1,15,0,0,0,14,Volkswagen,Jetta,2007
6789990466,IYQYXFYO5,217938,1995-07-16,OH,250/500,500,847.03,0,Basic,Personal L3,offer2,7,20,0,0,5,Suburu,Impreza,2011
1813408534,N01T2DTJP,203914,2001-06-09,OH,100/300,1000,1000.06,0,Extended,Personal L3,offer2,4,0,4,7,1,Audi,A3,2014
5880415683,RQEJKYZ7O,565157,2002-10-06,IL,100/300,1000,1046.71,0,Basic,Personal L3,offer2,29,17,1,12,26,Mercedes,C300,2009
6315523788,L38CH0FX7,904191,1997-07-14,IN,250/500,500,1158.03,0,Extended,Corporate L3,offer2,14,0,5,8,27,Volkswagen,Jetta,2006
8192192466,JJ28Y8PL3,419510,1994-11-11,OH,100/300,1000,1372.27,0,Basic,Personal L3,offer2,3,0,4,7,18,Suburu,Forrestor,1997
2763315309,PJ464G4C1,575000,2012-06-23,OH,100/300,1000,1053.04,7000000,Basic,Personal L3,offer1,18,0,1,14,6,Saab,93,2013
5891469215,JFPCCWYOY,120485,2007-02-18,OH,100/300,1000,1275.39,0,Extended,Personal L3,offer3,28,21,0,8,17,Audi,A5,1996
6769455217,I57DDQN7M,781181,2005-06-27,OH,100/300,2000,1402.75,0,Basic,Personal L2,offer1,15,0,0,14,14,Jeep,Wrangler,2006
8413789185,F94T5ACZT,299796,1999-09-29,IN,250/500,500,1344.36,7000000,Basic,Personal L2,offer2,33,21,0,0,7,Saab,92x,2013
1099633103,A0E8U65OY,589749,2006-05-14,IN,100/300,1000,1197.71,0,Extended,Personal L1,offer2,15,13,8,14,20,Suburu,Legacy,2013
3344241494,9R4LYMHP7,854021,2010-04-29,OH,100/300,500,1203.24,0,Extended,Personal L3,offer4,0,15,0,2,8,Honda,Accord,1999
2807227698,H2YI9MQES,454086,1992-11-10,IN,500/1000,1000,1152.4,0,Basic,Personal L3,offer3,0,22,0,0,2,Mercedes,E400,2014
8842119571,ADOU6GKL5,139484,1999-07-24,IN,500/1000,2000,1142.62,7000000,Extended,Personal L2,offer1,6,0,1,6,20,Chevrolet,Silverado,1997
7094536450,KHTD84BU9,678849,1992-02-22,OH,500/1000,1000,1332.07,0,Basic,Personal L2,offer1,8,0,0,13,4,Volkswagen,Passat,2002
5528895626,VGGP4VGZS,346940,2002-09-13,OH,500/1000,1000,1166.54,0,Extended,Personal L3,offer1,16,0,0,14,4,Dodge,Neon,1997
3900820016,TUM4KAKUP,985436,2003-08-09,IL,250/500,500,1495.06,0,Basic,Personal L1,offer2,20,0,0,15,25,Mercedes,E400,2011
8960397385,L81LJ8X45,237418,2007-12-04,IN,500/1000,1000,1337.92,0,Extended,Corporate L2,offer3,8,22,1,10,12,Suburu,Legacy,2012
5463650475,WF844VFSS,335780,2002-07-22,OH,250/500,2000,1587.96,0,Extended,Personal L3,offer1,9,0,10,12,8,Audi,A5,2012
4091154672,GZIJFT53X,491392,1992-07-03,IL,500/1000,1000,1362.29,0,Premium,Personal L3,offer1,28,0,0,14,2,Saab,95,1999
9607290279,M8JHD13JM,140880,2005-03-29,IL,250/500,500,1448.84,0,Basic,Personal L1,offer1,11,0,0,0,2,Toyota,Highlander,2015
7680404187,XV5GIBNJ9,962591,2008-03-16,IN,250/500,2000,1241.97,0,Extended,Corporate L2,offer2,31,0,0,0,5,Jeep,Wrangler,2011
9506922851,VZJ8PFI4J,922565,1999-05-23,IL,250/500,500,1124.6,0,Basic,Personal L2,offer1,29,0,0,12,13,Jeep,Wrangler,2006
1373614717,L43M9BE9H,288580,2012-11-22,OH,250/500,2000,1079.92,0,Basic,Personal L3,offer4,1,14,5,10,7,Volkswagen,Jetta,2007
1047013263,DE51Q9XO0,154280,1993-01-29,IL,250/500,1000,1447.78,0,Extended,Personal L3,offer2,3,0,1,3,1,Dodge,Neon,2001
6972807259,3E6OYLU9A,425973,2003-02-11,IN,250/500,500,1229.16,4000000,Extended,Personal L3,offer1,1,0,4,12,15,Volkswagen,Jetta,2014
5310932074,WYJWOP1SY,477177,1990-08-15,IL,100/300,1000,1226.49,0,Basic,Personal L2,offer1,5,0,1,4,6,Ford,Fusion,2002
5114526162,2H6SG1U8K,648509,2010-03-06,IN,100/300,2000,897.89,6000000,Premium,Personal L3,offer3,19,29,0,0,4,Jeep,Wrangler,2011
